money_id ,unit_money ,quantity_money ,
money1201,  ,  ,
money1202,  ,  ,
money1203,  ,  ,
money1204,  ,  ,
money1205,  ,  ,
money1206,  ,  ,
money1207,  ,  ,
money1208,  ,  ,
money1209,  ,  ,
money1210,  ,  ,
money1211,  ,  ,
money1212,  ,  ,
money1213,  ,  ,
money1214,  ,  ,
money1215,  ,  ,
money1216,  ,  ,
money1217,  ,  ,
money1218,  ,  ,
money1219,  ,  ,
money1220,  ,  ,
money1221,  ,  ,
money1222,  ,  ,
money1223,  ,  ,
money1224,  ,  ,
money1225,  ,  ,
money1226,  ,  ,
money1227,  ,  ,
money1228,  ,  ,
money1229,  ,  ,
money1230,  ,  ,
money1231,  ,  ,
money1232,  ,  ,
money1233,  ,  ,
money1234,  ,  ,
money1235,  ,  ,
money1236,  ,  ,
money1237,  ,  ,
money1238,  ,  ,
money1239,  ,  ,
money1240,  ,  ,
money1241,  ,  ,
money1242,  ,  ,
money1243,  ,  ,
money1244,  ,  ,
money1245,  ,  ,
money1246,  ,  ,
money1247,  ,  ,
money1248,  ,  ,
money1249,dollars ,3,
money1250,dollars ,3,
money1251,dollars ,2,
money1252,dollars ,2,
money1253,cents ,3,
money1254,cents ,3,
money1255,cents ,61,
money1256,cents ,61,
money1257,dollars ,10,
money1258,dollars ,10,
money1259,dollars ,3,
money1260,dollars ,3,
money1261,cents ,80,
money1262,cents ,80,
money1263,dollars ,2,
money1264,dollars ,2,
money1265,dollars ,4.5,
money1266,dollars ,4.5,
money1267,dollars ,4,
money1268,dollars ,4,
money1269,cents ,8,
money1270,cents ,8,
money1271,dollars ,15,
money1272,dollars ,15,
money1273,dollars ,20,
money1274,dollars ,20,
money1275,dollars ,3,
money1276,dollars ,3,
money1277,cents ,45,
money1278,cents ,45,
money1279,dollars ,2,
money1280,dollars ,2,
money1281,cents ,8,
money1282,cents ,8,
money1283,dollars ,8,
money1284,dollars ,8,
money1285,dollars ,20,
money1286,dollars ,20,
money1287,dollars ,3.6,
money1288,dollars ,3.6,
money1289,dollars ,3,
money1290,dollars ,3,
money1291,cents ,60,
money1292,cents ,60,
money1293,dollars ,28,
money1294,dollars ,28,
money1295,cents ,80,
money1296,cents ,80,
